name,extId,x,y,category,puic,prodclass,x_real,y2,join_id,join_name,isInAustria
Klosterneuburg Kammerjoch,5631,0,0,0,0,0,16.34051,48.289297,0,0,1
Wien Burgstall,5634,0,0,0,0,0,16.361222,48.26997,0,0,1
Wien Nußdorf Bahnhst (Heiligenstädter Straße),5635,0,0,0,0,0,16.365446,48.249034,0,0,1
Wien Heiligenstadt Bf (Vorplatz),5637,0,0,0,0,0,16.365446,48.249034,0,0,1
St.Andrä-Wördern Tullner Straße,5609,0,0,0,0,0,16.204486,48.322278,0,0,1
Steinriegl Hochstraße,5640,0,0,0,0,0,16.205708,48.276469,0,0,1
Steinriegl Hirschbergweg (Am Steinriegl),5639,0,0,0,0,0,16.202993,48.272145,0,0,1
Oberkirchbach Am Waldrand,5641,0,0,0,0,0,16.207964,48.281153,0,0,1
Oberkirchbach Gh Bonka,5642,0,0,0,0,0,16.202472,48.283616,0,0,1
Oberkirchbach Talgasse,5643,0,0,0,0,0,16.197474,48.285494,0,0,1
Oberkirchbach Kogelweg,5644,0,0,0,0,0,16.197321,48.287841,0,0,1
Unterkirchbach Casinostraße,5645,0,0,0,0,0,16.194903,48.290978,0,0,1
Kierling Hauptstraße,5677,0,0,0,0,0,16.286773,48.307078,0,0,1
Unterkirchbach Schlossbergweg,5646,0,0,0,0,0,16.196566,48.29274,0,0,1
Hintersdorf Waldparksiedlung,5647,0,0,0,0,0,16.213673,48.296246,0,0,1
Hintersdorf Grabenweg,5648,0,0,0,0,0,16.214904,48.297468,0,0,1
Kierling Schuberthöhe,5671,0,0,0,0,0,16.262457,48.30786,0,0,1
Hintersdorf Schloss,5649,0,0,0,0,0,16.216172,48.299832,0,0,1
Hintersdorf Feuerwehr,5650,0,0,0,0,0,16.218257,48.304183,0,0,1
St.Andrä-Wördern Hagenbachklamm,5651,0,0,0,0,0,16.211848,48.315536,0,0,1
St.Andrä-Wördern Kirche,5652,0,0,0,0,0,16.207578,48.3212,0,0,1
St.Andrä-Wördern Föhrengasse,5663,0,0,0,0,0,16.196998,48.31862,0,0,1
Maria Gugging Lourdesgrotte,5664,0,0,0,0,0,16.236406,48.31746,0,0,1
Maria Gugging Hochäckergasse,5665,0,0,0,0,0,16.240182,48.315303,0,0,1
Maria Gugging Freyengasse,5666,0,0,0,0,0,16.242941,48.313999,0,0,1
Maria Gugging Feuerwehr,5667,0,0,0,0,0,16.246133,48.313748,0,0,1
Kierling Maital,5672,0,0,0,0,0,16.265711,48.307743,0,0,1
Maria Gugging Kirche,5668,0,0,0,0,0,16.250429,48.312588,0,0,1
Maria Gugging Neubau,5669,0,0,0,0,0,16.254313,48.311383,0,0,1
Kierling Stegleiten,5678,0,0,0,0,0,16.292445,48.30545,0,0,1
Maria Gugging I.S.T. Austria,5670,0,0,0,0,0,16.257944,48.308669,0,0,1
Kierling Volksschule,5674,0,0,0,0,0,16.273774,48.308884,0,0,1
Kierling Grüntal,5675,0,0,0,0,0,16.276606,48.309532,0,0,1
